ticker,cur,pxusd,tier,nS,sumS,sqS,nC,sumC,sqC
9984.T,JPY,35.20,mid,32,-3.306,45.614,652,-52.247,1172.469
6861.T,JPY,539.54,large,3,-2.354,2.052,628,-129.423,989.180
8306.T,JPY,22.59,mid,23,24.247,74.465,522,-102.017,864.556
9432.T,JPY,1.00,micro,19,-20.579,37.293,650,-833.331,2099.425
6098.T,JPY,83.46,mid,9,2.542,23.096,272,-64.101,471.329
8035.T,JPY,345.49,large,18,-5.241,23.858,655,-112.053,1125.623
4063.T,JPY,38.77,mid,1,-0.276,0.076,686,-80.734,1149.221
9433.T,JPY,18.90,small,22,-10.965,37.184,640,-118.082,1028.808
8058.T,JPY,30.86,mid,22,-6.713,53.849,662,-178.307,1052.982
7974.T,JPY,50.99,mid,21,-4.077,49.002,633,-69.406,1121.724
6501.T,JPY,35.63,mid,11,11.518,33.660,654,-88.910,1226.627
6902.T,JPY,12.23,small,12,-6.909,30.187,679,-204.759,1192.415
4568.T,JPY,17.45,small,24,-13.001,34.380,639,-111.937,1100.507
8316.T,JPY,42.99,mid,47,11.195,86.834,668,-122.421,1102.186
7267.T,JPY,10.67,small,18,-4.267,27.998,662,-217.665,1126.444
6367.T,JPY,140.80,large,12,9.700,36.321,649,-119.088,954.214
6954.T,JPY,41.43,mid,0,0.000,0.000,665,-160.218,1043.064
6981.T,JPY,46.04,mid,12,-12.238,13.967,619,-44.982,1136.100
7741.T,JPY,162.54,large,3,-1.066,3.691,649,-138.711,985.403
4661.T,JPY,18.88,small,30,2.984,60.411,633,-192.274,953.445
8001.T,JPY,13.19,small,12,-10.300,14.540,649,-223.523,1139.907
8031.T,JPY,31.27,mid,11,-7.922,10.398,666,-172.240,1167.775
9022.T,JPY,24.74,mid,16,4.016,37.463,619,-95.976,1036.956
4519.T,JPY,43.47,mid,24,-20.343,35.170,675,-142.913,992.303
6273.T,JPY,470.32,large,4,-4.336,4.701,637,-131.531,1041.825
6146.T,JPY,370.47,large,8,2.262,3.294,618,-110.140,1007.570
7011.T,JPY,25.64,mid,21,-10.870,24.968,667,-139.973,1099.105
6702.T,JPY,23.30,mid,12,1.214,31.719,650,-104.715,1171.686
4502.T,JPY,35.12,mid,14,-6.709,15.158,661,-117.451,1125.695
4503.T,JPY,14.75,small,7,-6.788,8.342,678,-198.953,1112.318
6752.T,JPY,27.34,mid,37,-14.643,58.467,641,-93.748,1162.944
6503.T,JPY,36.93,mid,10,12.590,47.990,659,-158.053,1164.737
7751.T,JPY,29.38,mid,5,-5.520,6.094,660,-86.667,1180.975
8411.T,JPY,53.54,mid,38,-2.615,55.177,576,-80.261,969.174
7182.T,JPY,20.21,mid,13,4.595,14.797,249,-102.602,364.682
8766.T,JPY,50.33,mid,5,-3.761,4.701,657,-202.439,889.155
4901.T,JPY,20.51,mid,18,-14.800,21.206,661,-128.886,1102.571
6301.T,JPY,46.59,mid,16,0.792,37.939,652,-161.251,1107.908
6326.T,JPY,17.50,small,19,2.578,31.556,684,-201.680,1026.864
7269.T,JPY,12.40,small,14,-14.116,18.288,637,-229.174,1063.963
9101.T,JPY,38.77,mid,34,-4.238,52.958,536,-57.592,1007.710
9020.T,JPY,21.94,mid,4,3.466,14.612,657,-136.994,960.840
2914.T,JPY,45.06,mid,19,10.506,69.006,652,-64.919,1129.752
4452.T,JPY,23.16,mid,12,-7.719,13.566,684,-131.540,953.725
6971.T,JPY,24.04,mid,10,7.199,36.103,639,-114.452,1042.416
5108.T,JPY,26.62,mid,11,1.052,30.264,667,-194.468,1021.158
4543.T,JPY,15.04,small,19,-8.624,24.642,651,-166.497,948.977
8053.T,JPY,11.33,small,9,4.315,27.996,662,-256.017,1074.396
3382.T,JPY,13.30,small,27,-12.656,69.175,676,-223.755,1213.348
9983.T,JPY,502.77,large,20,-8.696,35.247,637,-86.067,1024.571
6857.T,JPY,204.06,large,26,-2.007,39.015,675,-79.981,1165.849
4021.T,JPY,47.51,mid,17,-4.883,40.493,660,-77.015,1126.809
6988.T,JPY,22.30,mid,18,-3.944,29.636,621,-162.148,1046.507
0700.HK,HKD,61.04,mid,9,-9.658,10.368,558,-162.093,813.564
0941.HK,HKD,10.43,small,16,-3.459,26.178,642,-132.938,1063.594
1299.HK,HKD,9.45,small,6,4.515,8.997,394,-97.244,579.174
0005.HK,HKD,20.55,mid,28,-14.744,34.222,639,-115.563,1276.930
0939.HK,HKD,1.12,micro,21,-39.250,85.740,520,-534.987,1436.488
1398.HK,HKD,0.91,micro,22,-31.194,59.969,462,-480.185,1149.801
3690.HK,HKD,11.75,small,3,-1.646,2.835,174,-5.179,262.230
9988.HK,HKD,15.78,small,0,0.000,0.000,152,2.219,248.150
0388.HK,HKD,52.47,mid,15,-0.496,11.703,643,-13.595,1085.492
2318.HK,HKD,7.29,small,13,-5.892,14.719,550,-166.626,818.356
1810.HK,HKD,3.45,micro,2,2.346,3.213,183,-66.594,221.043
0016.HK,HKD,14.71,small,17,2.611,42.958,640,-135.549,1117.389
