ticker,tier,nS,sumS,sqS,nC,sumC,sqC
MQG.AX,large,26,-33.658,61.730,743,-217.880,1473.924
FMG.AX,small,127,93.157,402.150,816,-70.741,1584.724
WOW.AX,mid,65,-52.525,216.030,806,-462.370,1776.631
TLS.AX,micro,27,-5.617,29.071,736,-534.928,1533.595
GMG.AX,mid,3,-1.564,2.475,516,-190.692,721.619
RIO.AX,large,178,-264.643,1919.779,901,-394.352,3941.074
WDS.AX,mid,139,-199.469,989.839,880,-392.392,4318.799
TCL.AX,small,10,-10.179,12.848,755,-441.718,2536.562
ALL.AX,mid,33,32.733,115.691,755,-231.782,1288.198
COL.AX,mid,2,1.021,0.688,167,-24.621,250.313
STO.AX,small,137,-169.730,1468.413,906,-1050.748,16810.989
QBE.AX,mid,87,-99.851,399.743,876,-393.846,2697.594
REA.AX,large,11,-6.101,14.661,701,-194.081,1027.226
WTC.AX,mid,6,-1.876,1.938,225,-30.419,410.974
RY.TO,large,5,-3.147,6.280,806,-296.173,1194.391
TD.TO,large,12,-8.202,13.974,773,-234.059,1298.545
ENB.TO,mid,2,-2.231,2.489,793,-249.402,1069.932
BN.TO,mid,10,8.058,25.887,794,-243.027,1088.275
CNR.TO,large,9,-9.053,9.757,753,-284.424,996.897
BMO.TO,large,20,2.404,42.216,784,-287.103,1223.523
CP.TO,large,2,-0.989,1.098,625,-202.115,796.523
CNQ.TO,mid,10,5.141,18.059,804,-197.075,1183.698
BNS.TO,large,22,13.964,64.149,770,-231.523,1188.191
TRP.TO,mid,5,8.326,23.279,795,-194.267,1055.007
SU.TO,mid,15,7.484,24.313,796,-130.799,1257.908
ATD.TO,mid,24,-35.056,63.109,742,-205.141,1328.642
CM.TO,large,37,12.622,85.290,789,-182.728,1305.927
MFC.TO,mid,28,4.171,41.841,674,-160.201,1084.408
SHOP.TO,large,0,0.000,0.000,262,-72.208,427.782
NTR.TO,mid,11,4.170,10.326,200,-24.446,302.717
TRI.TO,large,6,-6.130,6.516,467,-176.435,613.138
WCN.TO,large,16,18.583,54.815,584,-169.658,821.335
GWO.TO,mid,25,-0.509,46.095,601,-179.890,852.713
FNV.TO,large,13,-7.046,14.415,460,-97.189,652.709
AEM.TO,large,8,2.016,21.797,787,-74.728,1240.537
CVE.TO,mid,19,-2.155,18.803,414,-33.794,624.790
IMO.TO,large,17,-1.408,32.316,789,-246.751,1099.734
BCE.TO,mid,24,-1.773,26.623,763,-277.562,1241.889
MG.TO,mid,10,-2.061,7.009,528,-74.313,862.747
DOL.TO,large,1,-1.063,1.130,439,-228.025,551.284
RELIANCE.NS,large,9,-6.127,7.152,744,-167.755,1063.425
TCS.NS,large,5,-3.037,2.693,575,-182.229,756.112
HDFCBANK.NS,large,10,10.839,35.697,776,-257.443,973.855
INFY.NS,large,10,-5.481,17.323,748,-261.742,1090.219
