claim,source,journal,year,category,definition,testable,data_needed,meta
Gross profitability,Novy-Marx (2012),WP,2012,fundamental,,no-data,needs paid fundamentals depth,GHZ
Financial statements score,Piotroski (2000),JAR,2000,other,,unknown,,GHZ
Change in shares outstanding,Pontiff & Woodgate (2008),JF,2008,other,,unknown,,GHZ
Unexpected quarterly earnings,"Rendelmann, Jones & Latane (1982)",JFE,1982,fundamental,,no-data,needs paid fundamentals depth,GHZ
Change in common shareholder equity,"Richardson, Sloan, Soliman & Tun (2005)",JAE,2005,other,,unknown,,GHZ
Change in long-term debt,"Richardson, Sloan, Soliman & Tun (2005)",JAE,2005,fundamental,,no-data,needs paid fundamentals depth,GHZ
Book-to-market,"Rosenberg, Reid & Lanstein (1985)",JPM,1985,fundamental,,no-data,needs paid fundamentals depth,GHZ
Change in # analysts,Scherbina (2007),WP,2007,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",GHZ
Working capital accruals,Sloan (1996),TAR,1996,fundamental,,no-data,needs paid fundamentals depth,GHZ
Industry-adjusted change in asset turnover,Soliman (2008),TAR,2008,microstructure,,partial,"volume/range only, no L2",GHZ
Change in tax expense,Thomas & Zhang (2010),WP,2010,fundamental,,no-data,needs paid fundamentals depth,GHZ
Changes in inventory,Thomas & Zhang (2002),RAS,2002,fundamental,,no-data,needs paid fundamentals depth,GHZ
Corporate investment,"Titman, Wei & Xie (2004)",JFQA,2004,fundamental,,no-data,needs paid fundamentals depth,GHZ
Illiquidity (bid-ask spread),Amihud & Mendelson (1989),JF,1989,microstructure,,partial,"volume/range only, no L2",GHZ
Depreciation-to-gross PP&E,Holthausen & Larcker (1992),JAE,1992,other,,unknown,,GHZ
% change in depreciation-to-gross PP&E,Holthausen & Larcker (1992),JAE,1992,other,,unknown,,GHZ
Sin stock,Hong & Kacperczyk (2009),JEF,2009,other,,unknown,,GHZ
Cash flow-to-debt,Ou & Penmann (1989),JAE,1989,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",GHZ
Current ratio,Ou & Penmann (1989),JAE,1989,other,,unknown,,GHZ
% change in current ratio,Ou & Penmann (1989),JAE,1989,other,,unknown,,GHZ
% change in quick ratio,Ou & Penmann (1989),JAE,1989,other,,unknown,,GHZ
% change in sales-to-inventory,Ou & Penmann (1989),JAE,1989,fundamental,,no-data,needs paid fundamentals depth,GHZ
Quick ratio,Ou & Penmann (1989),JAE,1989,other,,unknown,,GHZ
Sales-to-cash,Ou & Penmann (1989),JAE,1989,fundamental,,no-data,needs paid fundamentals depth,GHZ
Sales-to-inventory,Ou & Penmann (1989),JAE,1989,fundamental,,no-data,needs paid fundamentals depth,GHZ
Sales-to-receivables,Ou & Penmann (1989),JAE,1989,fundamental,,no-data,needs paid fundamentals depth,GHZ
# of analysts covering stock,"Elgers, Lo & Pfeiffer (2001)",TAR,2001,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",GHZ
Earnings volatility,"Francis, LaFond, Olsson & Schipper (2004)",TAR,2004,risk/vol,,yes,OHLCV 33y + 1m intraday,GHZ
# of years since first Compustat coverage,"Jiang, Lee & Zhang (2005)",RAS,2005,other,,unknown,,GHZ
Secured debt-to-total debt,Valta (2013),WP,2013,fundamental,,no-data,needs paid fundamentals depth,GHZ
Secured debt indicator,Valta (2013),WP,2013,fundamental,,no-data,needs paid fundamentals depth,GHZ
% change in sales - % change in accounts receivable,Abarbanell & Bushee (1998),TAR,1998,fundamental,,no-data,needs paid fundamentals depth,GHZ
Return on invested capital,Brown & Rowe (2007),WP,2007,price,,yes,OHLCV 33y + 1m intraday,GHZ
Beta squared,Fama & MacBeth (1973),JPE,1973,risk/vol,,yes,OHLCV 33y + 1m intraday,GHZ
R&D-to-sales,"Guo, Lev & Shi (2006)",JBFA,2006,fundamental,,no-data,needs paid fundamentals depth,GHZ
Industry-adjusted change in profit margin,Soliman (2008),TAR,2008,other,,unknown,,GHZ
CAPEX and inventory,Chen & Zhang (2010),JF,2010,fundamental,,no-data,needs paid fundamentals depth,GHZ
Industry-adjusted book-to-market,"Asness, Porter & Stevens (1994)",WP,1994,fundamental,,no-data,needs paid fundamentals depth,GHZ
Industry-adjusted cash flow-to-price ratio,"Asness, Porter & Stevens (1994)",WP,1994,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",GHZ
Industry-adjusted change in employees,"Asness, Porter & Stevens (1994)",WP,1994,other,,unknown,,GHZ
Industry-adjusted firm size,"Asness, Porter & Stevens (1994)",WP,1994,other,,unknown,,GHZ
Absolute accruals,"Bandyopadhyay, Huang & Wirjanto (2010)",WP,2010,fundamental,,no-data,needs paid fundamentals depth,GHZ
Accrual volatility,"Bandyopadhyay, Huang & Wirjanto (2010)",WP,2010,risk/vol,,yes,OHLCV 33y + 1m intraday,GHZ
Change in 6-month momentum,Gettleman & Marks (2006),WP,2006,price,,yes,OHLCV 33y + 1m intraday,GHZ
Abnormal volume in earnings announcement month,"Lerman, Livnat & Mendenhall (2007)",WP,2007,fundamental,,no-data,needs paid fundamentals depth,GHZ
Discretionay accruals,Xie (2001),NA,2001,fundamental,,no-data,needs paid fundamentals depth,HXZ
Operating accruals,Sloan (1996),NA,1996,fundamental,,no-data,needs paid fundamentals depth,HXZ
Assets-to-market,Fama and French (1992),NA,1992,other,,unknown,,HXZ
Analysts' forecast change,"Hawkins, Chamberlin, and Daniel (1984)",NA,1984,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Cumulative abnormal stock returns around earnings announcements,"Chan, Jegadeesh, and Lakonishok (1996)",NA,1996,price,,yes,OHLCV 33y + 1m intraday,HXZ
Investment-to-assets,"Cooper, Gulen and Schill (2008)",NA,2008,fundamental,,no-data,needs paid fundamentals depth,HXZ
Pastor-Stambaugh Liquidity Beta,Pastor and Stambuagh (2003),NA,2003,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Tail risk,Kelly and Jiang (2014),NA,2014,other,,unknown,,HXZ
Systematic volatillity risk,"Ang, Hodrick, Xing, and Zhang (2007)",NA,2007,other,,unknown,,HXZ
Systematic volatillity risk,"Ang, Hodrick, Xing, and Zhang (2008)",NA,2008,other,,unknown,,HXZ
Systematic volatillity risk,"Ang, Hodrick, Xing, and Zhang (2009)",NA,2009,other,,unknown,,HXZ
Book-to-June-end market equity,Asnesss and Frazzini (2013),NA,2013,fundamental,,no-data,needs paid fundamentals depth,HXZ
Book-to-market equity,"Rosenberg, Reid, and Lanstein (1985)",NA,1985,fundamental,,no-data,needs paid fundamentals depth,HXZ
Book leverage,Fama and French (1992),NA,1992,fundamental,,no-data,needs paid fundamentals depth,HXZ
Cash-to-assets,Palazzo (2012),NA,2012,other,,unknown,,HXZ
Cash-based operating profitablility,"Ball, Gerakos, Linnainmaa, and Nikolaev (2016)",NA,2016,other,,unknown,,HXZ
Cash flow-to-price,"Lakonishok, Scheifer, and Vishny (1994)",NA,1994,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Operating cash flow-to-price,"Desai, Rajgopal, and Benkatachalam (2004)",NA,2004,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Chage in common equity,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,other,,unknown,,HXZ
Inventory changes,Thomas and Zhang (2002),NA,2002,fundamental,,no-data,needs paid fundamentals depth,HXZ
% change in investment - %change in industry investment,Abarbanell and Bushee (1998),NA,1998,fundamental,,no-data,needs paid fundamentals depth,HXZ
Change in net non-current operating assets,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,other,,unknown,,HXZ
Change in net non-cash working capital,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,other,,unknown,,HXZ
Tax expense surprise,Thomas and Zhang (2011),NA,2011,fundamental,,no-data,needs paid fundamentals depth,HXZ
Citations-to-R&D expense,"Hirschleifer, Hsu and Li (2013)",NA,2013,fundamental,,no-data,needs paid fundamentals depth,HXZ
Composite equity issuance,Daniel and Titman (2006),NA,2006,fundamental,,no-data,needs paid fundamentals depth,HXZ
Composite debt issuance,"Lyandres, Sun and Zhang (2008)",NA,2008,fundamental,,no-data,needs paid fundamentals depth,HXZ
Convertible debt-to-total debt,Valta (2016),NA,2016,fundamental,,no-data,needs paid fundamentals depth,HXZ
Credit ratings,"Avramov, Chordia, Jostova, and Philipov (2009)",JFM,2009,macro,,partial,Yahoo proxies (FRED blocked),HXZ
Customer momentum,Cohen and Frazzini (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
Change in current operating assets,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,other,,unknown,,HXZ
Change in current Ooperating liabilities,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,other,,unknown,,HXZ
Change in financials liabilities,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,other,,unknown,,HXZ
Chagne in long-term investments,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,fundamental,,no-data,needs paid fundamentals depth,HXZ
Change in net financial assets,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,other,,unknown,,HXZ
