claim,source,journal,year,category,definition,testable,data_needed,meta
"Years 11-15-lagged returns, nonannual",Heston and Sadka (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
# consecutive quarters with earnings increases,"Barth, Elliot, and Finn (1999)",NA,1999,fundamental,,no-data,needs paid fundamentals depth,HXZ
Operating profits-to-equity,Fama and French (2015),NA,2015,other,,unknown,,HXZ
Operating profits-to-assets,"Ball, Gerakos, Linnainmaa, and Nikolaev (2016)",NA,2016,other,,unknown,,HXZ
Predicted analysts focecast erro,Frankel and Lee (1998),NA,1998,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Price delay based on slopes,Hou and Moskowitz (2005),NA,2005,price,,yes,OHLCV 33y + 1m intraday,HXZ
Price delay based on slopes adjusted for standard errors,Hou and Moskowitz (2005),NA,2005,price,,yes,OHLCV 33y + 1m intraday,HXZ
Probability of Informed Trading,"Easley, Hvidkjaer, O'Hara (2002)",NA,2002,other,,unknown,,HXZ
Rela estate ratio,Tuzel (2010),NA,2010,other,,unknown,,HXZ
Return on equity,"Hou, Xue, and Zhang (2015)",NA,2015,price,,yes,OHLCV 33y + 1m intraday,HXZ
Analysts' earnings forecast-to-price,"Elgers, Lo, and Pfeiffer (2001)",NA,2001,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Sales-to-price,"Barbee, Mukherji, and Raines (1996)",NA,1996,price,,yes,OHLCV 33y + 1m intraday,HXZ
Leverage beta,"Adrian, Etula, and Muir (2014)",NA,2014,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Bid-ask spread,Hou and Loh (2015),NA,2015,microstructure,,partial,"volume/range only, no L2",HXZ
Change in short-term investments,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,fundamental,,no-data,needs paid fundamentals depth,HXZ
Downside beta,"Ang, Chen and Xing (2006)",NA,2006,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Failure probability monthly sort,"Campbell, Hilscher, and Szilagyi (2008)",NA,2008,other,,unknown,,HXZ
Dispersion in analyst long-term growth forecasts,"Anderson, Ghysels, and Juergens (2005)",NA,2005,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Financial constraints (the Kaplan-Zingales index),"Lamont, Polk, and Saa-Requejo (2001)",NA,2001,other,,unknown,,HXZ
R&D-to-sales,"Chan, Lakonishok, and Sougiannis (2001)",NA,2001,fundamental,,no-data,needs paid fundamentals depth,HXZ
Financial constraints (the Whited-Wu index),Whited and Wu (2006),NA,2006,other,,unknown,,HXZ
Z-score,Dichev (1998),NA,1998,other,,unknown,,HXZ
Percent discretionary accruals,"Hafzalla, Lundholm, and Van Winkle (2012)",NA,2012,fundamental,,no-data,needs paid fundamentals depth,HXZ
Quarterly accrual quality,"Francis, Lafond, Olsson and Schipper (2005)",NA,2005,fundamental,,no-data,needs paid fundamentals depth,HXZ
Accrual quality,"Francis, Lafond, Olsson and Schipper (2005)",NA,2005,fundamental,,no-data,needs paid fundamentals depth,HXZ
Quarterly Assets-to-market,Fama and French (1992),NA,1992,other,,unknown,,HXZ
Quarterly Investment-to-assets,"Cooper, Gulen and Schill (2008)",NA,2008,fundamental,,no-data,needs paid fundamentals depth,HXZ
Asset liquity (scaled by book assets),Ortiz-Molina and Phillips (2014),NA,2014,fundamental,,no-data,needs paid fundamentals depth,HXZ
Quarterly asset liquidity (book assets),Ortiz-Molina and Phillips (2014),NA,2014,fundamental,,no-data,needs paid fundamentals depth,HXZ
Asset liquity (scaled by market assets),Ortiz-Molina and Phillips (2014),NA,2014,other,,unknown,,HXZ
Quarterly asset liquidity (market assets),Ortiz-Molina and Phillips (2014),NA,2014,microstructure,,partial,"volume/range only, no L2",HXZ
Quarterly asset turnover,Soliman (2008),NA,2008,microstructure,,partial,"volume/range only, no L2",HXZ
Liquidity beta (illiquidity-illiquidity),Acharya and Pederson (2005),NA,2005,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Liquidity beta (illiquidity-return),Acharya and Pederson (2005),NA,2005,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
The Dimson (1979) beta,Frazzini and Pedersen (2014),NA,2014,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Net liquidity beta,Acharya and Pederson (2005),NA,2005,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Liquidity beta (return-illiquidity),Acharya and Pederson (2005),NA,2005,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Liquidity beta (return-return),Acharya and Pederson (2005),NA,2005,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Quarterly Book-to-market equity,"Rosenberg, Reid, and Lanstein (1985)",NA,1985,fundamental,,no-data,needs paid fundamentals depth,HXZ
Quarterly book leverage,Fama and French (1992),NA,1992,fundamental,,no-data,needs paid fundamentals depth,HXZ
Brand capital-to-assets,"Belo, Lin and Vitorino (2014)",NA,2014,other,,unknown,,HXZ
Capital turnover,Haugen and Baker (1996),NA,1996,microstructure,,partial,"volume/range only, no L2",HXZ
Quarterly capital turnover,Haugen and Baker (1996),NA,1996,microstructure,,partial,"volume/range only, no L2",HXZ
Cash-based operating profits to-lagged assets,"Ball, Gerakos, Linnainmaa, and Nikolaev (2016)",NA,2016,other,,unknown,,HXZ
Quarterly cash-based operating profits to-lagged assets,"Ball, Gerakos, Linnainmaa, and Nikolaev (2016)",NA,2016,other,,unknown,,HXZ
Quarterly operating cash flow-to-price,"Desai, Rajgopal, and Benkatachalam (2004)",NA,2004,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Quarterly Cash flow-to-price,"Lakonishok, Scheifer, and Vishny (1994)",NA,1994,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Change in Roa,??? (???),NA,,other,,unknown,,HXZ
Change in ROE,??? (???),NA,,other,,unknown,,HXZ
Change in non-current operating assets,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,other,,unknown,,HXZ
Change in non-current operating liabilities,"Richardson, Sloan Soliman and Tuna (2005)",NA,2005,other,,unknown,,HXZ
Quarterly Dividend yield,Litzenberger and Ramaswamy (1979),NA,1979,fundamental,,no-data,needs paid fundamentals depth,HXZ
Earnings Convervatism,"Francis, Lafond, Olsson and Schipper (2004)",NA,2004,fundamental,,no-data,needs paid fundamentals depth,HXZ
Earnings persistence,"Francis, Lafond, Olsson and Schipper (2004)",NA,2004,fundamental,,no-data,needs paid fundamentals depth,HXZ
Earnigns predictability,"Francis, Lafond, Olsson and Schipper (2004)",NA,2004,other,,unknown,,HXZ
Earnings smoothness,"Francis, Lafond, Olsson and Schipper (2004)",NA,2004,fundamental,,no-data,needs paid fundamentals depth,HXZ
Earnings timeliness,"Francis, Lafond, Olsson and Schipper (2004)",NA,2004,fundamental,,no-data,needs paid fundamentals depth,HXZ
Value relevance of earnings,"Francis, Lafond, Olsson and Schipper (2004)",NA,2004,fundamental,,no-data,needs paid fundamentals depth,HXZ
Quarterly Enterprise book-to-price,"Penman, Richardson, and Tuna (2007)",NA,2007,price,,yes,OHLCV 33y + 1m intraday,HXZ
Quarterly Enterprise multiple,Loughran and Wellman (2011),NA,2011,other,,unknown,,HXZ
Quarterly Earnings-to-price,Basu (1983),NA,1983,price,,yes,OHLCV 33y + 1m intraday,HXZ
Effective tax rate,Abarbanell and Bushee (1998),NA,1998,fundamental,,no-data,needs paid fundamentals depth,HXZ
Failure probaility,"Campbell, Hilscher, and Szilagyi (2008)",NA,2008,other,,unknown,,HXZ
"Long-term growth forecasts, monthly sorts",La Porta (1996),NA,1996,macro,,partial,Yahoo proxies (FRED blocked),HXZ
Persion funding rate (scaled by assets),Franzoni and Martin (2006),NA,2006,other,,unknown,,HXZ
Gross profits-to-lagged assets,Novy-Marx (2013),NA,2013,other,,unknown,,HXZ
Gross profits-to-lagged assets quarterly,Novy-Marx (2013),NA,2013,other,,unknown,,HXZ
Inversmtent growth,Xing (2008),NA,2008,other,,unknown,,HXZ
%change in gross margin - %change in sales,Abarbanell and Bushee (1998),NA,1998,fundamental,,no-data,needs paid fundamentals depth,HXZ
%change in sales - %change in accounts receivable,Abarbanell and Bushee (1998),NA,1998,fundamental,,no-data,needs paid fundamentals depth,HXZ
Idiosyncratic volatility per the CAPM,"Ang, Hodrick, Xing, and Zhang (2006)",NA,2006,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Idiosyncratic volatility per the q-factor,"Ang, Hodrick, Xing, and Zhang (2006)",NA,2006,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Intrinsic value-to-market,Frankel and Lee (1998),NA,1998,other,,unknown,,HXZ
Quarterly Kaplan-Zingales index,"Lamont, Polk, and Saa-Requejo (2001)",NA,2001,other,,unknown,,HXZ
Labor force efficiency,Abarbanell and Bushee (1998),NA,1998,other,,unknown,,HXZ
Quarterly Debt-to-market,Bhandari (1988),NA,1988,fundamental,,no-data,needs paid fundamentals depth,HXZ
Analysts coverage,"Elgers, Lo, and Pfeiffer (2001)",NA,2001,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Quarterly net debt-to-price,"Penman, Richardson, and Tuna (2007)",NA,2007,price,,yes,OHLCV 33y + 1m intraday,HXZ
Quarterly Net Payout Yield,"Boudoukh, Michaely, Richardson, and Roberts (2007)",NA,2007,other,,unknown,,HXZ
Operating profits-to-lagged equity,Fama and French (2015),NA,2015,other,,unknown,,HXZ
Operating profits-to-lagged equity quarterly,Fama and French (2015),NA,2015,other,,unknown,,HXZ
Operating profits-to-lagged assets,"Ball, Gerakos, Linnainmaa, and Nikolaev (2016)",NA,2016,other,,unknown,,HXZ
Quarterly operating profits-to-lagged assets,"Ball, Gerakos, Linnainmaa, and Nikolaev (2016)",NA,2016,other,,unknown,,HXZ
Quarterly operating leverage,Novy-Marx (2011),NA,2011,other,,unknown,,HXZ
Organization capital/assets,Eisfeldt and Papanikolaou (2013),NA,2013,other,,unknown,,HXZ
Quarterly O-Score,Dichev (1998),NA,1998,other,,unknown,,HXZ
Quarterly Payout Yield,"Boudoukh, Michaely, Richardson, and Roberts (2007)",NA,2007,other,,unknown,,HXZ
Quarterly profit margin,Soliman (2008),NA,2008,other,,unknown,,HXZ
Quarterly F-Score,Piotroski (2000),NA,2000,other,,unknown,,HXZ
Quarterly R&D-to-market,"Chan, Lakonishok, and Sougiannis (2001)",NA,2001,fundamental,,no-data,needs paid fundamentals depth,HXZ
Quarterly R&D-to-sales,"Chan, Lakonishok, and Sougiannis (2001)",NA,2001,fundamental,,no-data,needs paid fundamentals depth,HXZ
Six-month residual momentum,"Blitz, Huij, and Martens (2011)",NA,2011,price,,yes,OHLCV 33y + 1m intraday,HXZ
Return on net operating assets,Soliman (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
Quarterly return on net operating assets,Soliman (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
Quaterly return on net operating assets,Soliman (2008),NA,2008,price,,yes,OHLCV 33y + 1m intraday,HXZ
Idiosyncratic skewness per the CAPM,"Bali, Engle, and Murray (2015)",NA,2015,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Idiosyncratic skewness per the q-factor model,"Bali, Engle, and Murray (2015)",NA,2015,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
Secured debt-to-total debt,Valta (2016),NA,2016,fundamental,,no-data,needs paid fundamentals depth,HXZ
Annual sales growth,"Lakonishok, Scheifer, and Vishny (1994)",NA,1994,fundamental,,no-data,needs paid fundamentals depth,HXZ
Quarterly sales growth,"Lakonishok, Scheifer, and Vishny (1994)",NA,1994,fundamental,,no-data,needs paid fundamentals depth,HXZ
Quarterly Sales-to-price,"Barbee, Mukherji, and Raines (1996)",NA,1996,price,,yes,OHLCV 33y + 1m intraday,HXZ
Quarterly tangibility of assets,Hahn and Lee (2009),NA,2009,other,,unknown,,HXZ
Quarterly taxable income-to-book income,Lev and Nissim (2004),NA,2004,fundamental,,no-data,needs paid fundamentals depth,HXZ
Quarterly Whited-Wu index,Whited and Wu (2006),NA,2006,other,,unknown,,HXZ
Quarterly Z-score,Dichev (1998),NA,1998,other,,unknown,,HXZ
